falsePositiveRate truePositiveRate threshold
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 3.090909090909090828e-01 1.000000000000000000e+00
0.000000000000000000e+00 3.181818181818181768e-01 9.999998807907104492e-01
0.000000000000000000e+00 3.363636363636363646e-01 9.999998211860656738e-01
0.000000000000000000e+00 3.636363636363636465e-01 9.999995231628417969e-01
0.000000000000000000e+00 4.181818181818181546e-01 9.999990463256835938e-01
0.000000000000000000e+00 4.636363636363636243e-01 9.999983310699462891e-01
0.000000000000000000e+00 4.818181818181818121e-01 9.999980926513671875e-01
0.000000000000000000e+00 4.909090909090909061e-01 9.999977350234985352e-01
0.000000000000000000e+00 5.090909090909090384e-01 9.999976158142089844e-01
0.000000000000000000e+00 5.727272727272727515e-01 9.999931454658508301e-01
0.000000000000000000e+00 5.909090909090909394e-01 9.999930858612060547e-01
0.000000000000000000e+00 9.636363636363636243e-01 9.560576677322387695e-01
6.122448979591836420e-03 9.636363636363636243e-01 7.741137742996215820e-01
6.122448979591836420e-03 9.818181818181818121e-01 5.446566343307495117e-01
1.428571428571428527e-02 9.818181818181818121e-01 1.068185269832611084e-01
1.428571428571428527e-02 9.909090909090909616e-01 7.587170600891113281e-02
1.326530612244898044e-01 9.909090909090909616e-01 3.344707238284172490e-06
1.326530612244898044e-01 1.000000000000000000e+00 2.873249513868358918e-06
1.000000000000000000e+00 1.000000000000000000e+00 9.938405108301190871e-36
